iter	Passed	Remaining
0	49	14835
1	51	7676
2	52	5243
3	54	4030
4	55	3268
5	56	2764
6	57	2408
7	58	2142
8	59	1929
9	60	1749
10	60	1600
11	61	1477
12	62	1369
13	62	1279
14	63	1198
15	63	1127
16	64	1067
17	64	1010
18	64	961
19	65	915
20	65	875
21	66	836
22	66	801
23	67	771
24	67	742
25	67	715
26	68	691
27	68	667
28	69	646
29	69	625
30	69	605
31	70	587
32	70	569
33	70	554
34	71	539
35	71	524
36	71	510
37	72	498
38	72	486
39	73	474
40	73	463
41	73	453
42	74	442
43	74	433
44	74	424
45	75	415
46	75	407
47	76	399
48	76	391
49	76	383
50	77	376
51	77	370
52	78	363
53	78	356
54	78	350
55	79	344
56	79	338
57	79	333
58	80	328
59	80	323
60	81	317
61	81	312
62	81	307
63	82	303
64	82	298
65	83	295
66	83	291
67	84	286
68	84	282
69	84	278
70	85	274
71	85	270
72	85	266
73	86	263
74	86	259
75	86	255
76	87	252
77	87	249
78	87	246
79	88	242
80	88	239
81	89	236
82	89	234
83	90	232
84	90	229
85	91	226
86	91	224
87	92	221
88	92	219
89	92	216
90	93	214
91	93	211
92	93	209
93	94	206
94	94	204
95	95	202
96	95	199
97	95	197
98	96	195
99	96	192
100	96	190
101	97	188
102	97	186
103	98	185
104	98	183
105	98	181
106	99	179
107	99	177
108	99	175
109	100	173
110	100	171
111	100	169
112	101	167
113	101	166
114	102	164
115	102	162
116	103	161
117	103	159
118	103	158
119	104	156
120	104	154
121	104	153
122	105	151
123	105	150
124	106	148
125	106	146
126	106	145
127	107	143
128	107	142
129	108	141
130	108	139
131	108	138
132	109	137
133	109	135
134	109	134
135	110	133
136	110	131
137	111	130
138	111	129
139	111	127
140	112	126
141	112	125
142	112	123
143	113	122
144	113	121
145	114	120
146	114	119
147	114	118
148	115	116
149	115	115
150	116	114
151	116	113
152	116	112
153	117	111
154	117	110
155	118	109
156	118	108
157	119	107
158	119	106
159	119	104
160	120	103
161	120	102
162	121	101
163	121	100
164	121	99
165	122	98
166	122	97
167	122	96
168	123	95
169	123	94
170	123	93
171	124	92
172	124	91
173	124	90
174	125	89
175	125	88
176	126	87
177	126	86
178	127	85
179	127	85
180	128	84
181	128	83
182	129	82
183	129	81
184	129	80
185	130	79
186	130	79
187	131	78
188	131	77
189	132	76
190	132	75
191	132	74
192	133	73
193	133	73
194	134	72
195	134	71
196	135	70
197	135	69
198	136	69
199	136	68
200	137	67
201	137	66
202	138	65
203	138	65
204	138	64
205	139	63
206	139	62
207	140	62
208	140	61
209	141	60
210	141	59
211	141	58
212	142	58
213	142	57
214	143	56
215	143	55
216	144	55
217	144	54
218	145	53
219	145	52
220	145	52
221	146	51
222	147	50
223	147	50
224	147	49
225	148	48
226	148	47
227	149	47
228	149	46
229	150	45
230	150	44
231	151	44
232	151	43
233	151	42
234	152	42
235	152	41
236	153	40
237	153	40
238	154	39
239	154	38
240	154	37
241	155	37
242	155	36
243	156	35
244	156	35
245	157	34
246	157	33
247	158	33
248	158	32
249	158	31
250	159	31
251	159	30
252	160	29
253	160	29
254	161	28
255	161	27
256	161	27
257	162	26
258	162	25
259	163	25
260	163	24
261	163	23
262	164	23
263	164	22
264	165	21
265	165	21
266	166	20
267	166	19
268	167	19
269	167	18
270	167	17
271	168	17
272	168	16
273	169	16
274	169	15
275	170	14
276	170	14
277	170	13
278	171	12
279	171	12
280	172	11
281	172	11
282	172	10
283	173	9
284	173	9
285	174	8
286	174	7
287	174	7
288	175	6
289	176	6
290	176	5
291	176	4
292	177	4
293	177	3
294	178	3
295	178	2
296	179	1
297	179	1
298	179	0
299	180	0
